Sample_ID,Test_Result,Sample_Date
A1,+,2023-01-01
A2,-,2023-01-02
A3,+,2023-01-03
B1,-,2023-02-10
B2,+,2023-02-15
B3,-,2023-02-22
C1,+,2023-03-05
C2,-,2023-03-11
C3,+,2023-03-21
D1,-,2023-04-01
D2,+,2023-04-08
D3,-,2023-04-15
E1,+,2023-05-05
E2,-,2023-05-12
E3,+,2023-05-20
F1,-,2023-06-02
F2,+,2023-06-09
F3,-,2023-06-16
G1,+,2023-07-03
G2,-,2023-07-10
G3,+,2023-07-17
H1,-,2023-08-01
H2,+,2023-08-08
H3,-,2023-08-15
I1,+,2023-09-04
I2,-,2023-09-11
I3,+,2023-09-18
J1,-,2023-10-02
J2,+,2023-10-09
J3,-,2023-10-16
K1,+,2023-11-01
K2,-,2023-11-08
K3,+,2023-11-15
L1,-,2023-12-01
L2,+,2023-12-08
L3,-,2023-12-15
