Protein_ID,Control_1,Control_2,Treatment_1,Treatment_2
Prot1,100,110,150,160
Prot2,50,55,70,75
Prot3,200,210,250,260
Prot4,80,85,90,95
Prot5,120,125,180,190
Prot6,60,65,80,85
Prot7,180,190,220,230
Prot8,90,95,110,115
Prot9,130,135,200,210
Prot10,70,75,90,95
Prot11,190,200,240,250
Prot12,105,115,125,135
Prot13,115,120,170,175
Prot14,55,60,65,70
Prot15,210,220,270,280
Prot16,85,90,100,105
Prot17,125,130,190,200
Prot18,65,70,85,90
Prot19,175,185,210,220
Prot20,95,100,115,120
Prot21,135,140,205,215
Prot22,75,80,95,100
Prot23,200,210,255,265
Prot24,110,120,130,140
Prot25,118,123,165,170
Prot26,58,63,68,73
Prot27,215,225,265,275
Prot28,88,93,98,103
Prot29,128,133,185,195
Prot30,68,73,88,93
Prot31,185,195,235,245
Prot32,108,118,128,138
Prot33,112,117,168,173
Prot34,52,57,62,67
Prot35,220,230,280,290
Prot36,82,87,92,97
Prot37,122,127,195,205
Prot38,62,67,82,87
Prot39,195,205,225,235
Prot40,92,97,112,117
Prot41,132,137,210,220
Prot42,72,77,92,97
Prot43,205,215,270,280
Prot44,115,125,135,145
Prot45,119,124,172,177
Prot46,59,64,69,74
Prot47,225,235,275,285
Prot48,89,94,99,104
Prot49,129,134,188,198
Prot50,69,74,89,94
