protein_id,expression_level,treatment
P1,150.2,Control
P2,245.7,Control
P3,180.4,Treatment
P4,210.9,Control
P5,170.5,Treatment
P6,160.8,Control
P7,230.3,Treatment
P8,195.6,Control
P9,220.1,Treatment
P10,175.9,Control
P11,235.4,Control
P12,185.7,Treatment
P13,205.2,Control
P14,165.3,Treatment
P15,225.8,Control
P16,190.1,Treatment
P17,215.6,Control
P18,180.9,Treatment
P19,240.3,Control
P20,178.2,Treatment
P21,208.5,Control
P22,198.7,Treatment
P23,228.1,Control
P24,172.4,Treatment
P25,232.9,Control
P26,188.3,Treatment
P27,218.7,Control
P28,192.5,Treatment
P29,242.6,Control
P30,176.1,Treatment
P31,212.3,Control
P32,183.4,Treatment
P33,238.2,Control
P34,168.9,Treatment
P35,222.8,Control
P36,195.1,Treatment
P37,248.5,Control
P38,185.2,Treatment
P39,202.7,Control
P40,162.3,Treatment
P41,220.4,Control
P42,190.8,Treatment
P43,232.1,Control
P44,182.5,Treatment
P45,215.9,Control
P46,198.2,Treatment
P47,245.3,Control
P48,175.6,Treatment
P49,205.8,Control
P50,168.1,Treatment
