gene_id,functional_category,expression_0h,expression_2h,expression_4h,expression_8h,expression_12h,expression_24h
BRCA1,DNA_Repair,100,150,300,450,420,380
TP53,Cell_Cycle,50,75,125,200,180,160
EGFR,Signaling,200,400,800,1200,1100,900
GAPDH,Metabolism,500,510,505,495,500,505
IL6,Immune_Response,10,100,400,800,600,300
PTEN,Cell_Cycle,75,100,150,250,220,190
VEGF,Signaling,150,350,700,1100,1000,800
SOD1,DNA_Repair,120,170,320,470,440,400
MYC,Cell_Cycle,60,85,135,210,190,170
AKT1,Signaling,220,420,820,1220,1120,920
LDHA,Metabolism,520,530,525,515,520,525
TNF,Immune_Response,20,110,410,810,610,310
CDK2,Cell_Cycle,80,105,155,255,225,195
MAPK1,Signaling,160,360,710,1110,1010,810
XRCC1,DNA_Repair,130,180,330,480,450,410
JUN,Cell_Cycle,65,90,140,215,195,175
STAT3,Signaling,230,430,830,1230,1130,930
PKM2,Metabolism,530,540,535,525,530,535
IFNG,Immune_Response,30,120,420,820,620,320
RB1,Cell_Cycle,85,110,160,260,230,200
ERBB2,Signaling,170,370,720,1120,1020,820
ATM,DNA_Repair,140,190,340,490,460,420
FOXO3,Cell_Cycle,70,95,145,220,200,180
HIF1A,Signaling,240,440,840,1240,1140,940
ALDOA,Metabolism,540,550,545,535,540,545
IL1B,Immune_Response,40,130,430,830,630,330
CHEK2,DNA_Repair,150,200,350,500,470,430
CDKN1A,Cell_Cycle,75,100,150,225,205,185
SRC,Signaling,250,450,850,1250,1150,950
ENO1,Metabolism,550,560,555,545,550,555
