gene_id,tissue_type,time_point,expression_level,condition
BRCA1,liver,0,100.5,control
BRCA1,liver,2,150.2,control
BRCA1,liver,4,200.8,control
BRCA1,liver,6,250.3,control
BRCA1,liver,8,300.7,control
BRCA1,liver,10,350.1,control
BRCA1,liver,12,400.9,control
BRCA1,kidney,0,80.3,control
BRCA1,kidney,2,120.5,control
BRCA1,kidney,4,160.7,control
BRCA1,kidney,6,200.9,control
BRCA1,kidney,8,240.2,control
BRCA1,kidney,10,280.4,control
BRCA1,kidney,12,320.6,control
TP53,liver,0,50.2,treated
TP53,liver,2,75.4,treated
TP53,liver,4,100.6,treated
TP53,liver,6,125.8,treated
TP53,liver,8,150.1,treated
TP53,liver,10,175.3,treated
TP53,liver,12,200.5,treated
TP53,kidney,0,45.6,treated
TP53,kidney,2,68.4,treated
TP53,kidney,4,91.2,treated
TP53,kidney,6,114.0,treated
TP53,kidney,8,136.8,treated
TP53,kidney,10,159.6,treated
TP53,kidney,12,182.4,treated
EGFR,liver,0,300.1,control
EGFR,liver,2,350.3,control
EGFR,liver,4,400.5,control
EGFR,liver,6,450.7,control
EGFR,liver,8,500.9,control
EGFR,liver,10,550.1,control
EGFR,liver,12,600.3,control
EGFR,kidney,0,250.2,control
EGFR,kidney,2,300.4,control
EGFR,kidney,4,350.6,control
EGFR,kidney,6,400.8,control
EGFR,kidney,8,450.0,control
EGFR,kidney,10,500.2,control
EGFR,kidney,12,550.4,control
MYC,liver,0,150.3,treated
MYC,liver,2,180.5,treated
MYC,liver,4,210.7,treated
MYC,liver,6,240.9,treated
MYC,liver,8,270.1,treated
MYC,liver,10,300.3,treated
MYC,liver,12,330.5,treated
MYC,kidney,0,120.4,treated
MYC,kidney,2,150.6,treated
MYC,kidney,4,180.8,treated
MYC,kidney,6,210.0,treated
MYC,kidney,8,240.2,treated
MYC,kidney,10,270.4,treated
MYC,kidney,12,300.6,treated
PTEN,liver,0,80.1,control
PTEN,liver,2,100.3,control
PTEN,liver,4,120.5,control
PTEN,liver,6,140.7,control
PTEN,liver,8,160.9,control
PTEN,liver,10,180.1,control
PTEN,liver,12,200.3,control
PTEN,kidney,0,60.2,control
PTEN,kidney,2,80.4,control
PTEN,kidney,4,100.6,control
PTEN,kidney,6,120.8,control
PTEN,kidney,8,140.0,control
PTEN,kidney,10,160.2,control
PTEN,kidney,12,180.4,control
