gene_id,time_point,expression_level,condition
BRCA1,0,10.5,control
BRCA1,24,15.2,treatment
TP53,0,5.2,control
TP53,24,7.4,treatment
EGFR,0,20.1,control
EGFR,24,25.8,treatment
MYC,0,8.3,control
MYC,24,12.1,treatment
VEGF,0,15.7,control
VEGF,24,22.3,treatment
CDK2,0,9.1,control
CDK2,24,13.8,treatment
PTEN,0,6.8,control
PTEN,24,10.2,treatment
AKT1,0,12.4,control
AKT1,24,18.5,treatment
MAPK1,0,7.9,control
MAPK1,24,11.6,treatment
JUN,0,18.2,control
JUN,24,27.1,treatment
STAT3,0,11.3,control
STAT3,24,16.9,treatment
FOS,0,4.6,control
FOS,24,6.9,treatment
SRC,0,13.6,control
SRC,24,20.4,treatment
MDM2,0,9.8,control
MDM2,24,14.7,treatment
BCL2,0,17.5,control
BCL2,24,26.3,treatment
CASP3,0,5.9,control
CASP3,24,8.8,treatment
